,root_id,const,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,sense_syn_count,upstream_sensoryN,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
0,720575940604414636,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,232.0,5.0,intrinsic,central,ALPN,multiglomerular,,"VP5+_l2PN,VP5+VP2_l2PN",ALl1_ventral,left,
1,720575940604414636,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,17.0,3.0,intrinsic,central,ALPN,multiglomerular,,"VP5+_l2PN,VP5+VP2_l2PN",ALl1_ventral,left,
2,720575940605758142,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,26.0,4.0,intrinsic,central,ALLN,,,lLN2F_a,ALl1_dorsal,right,
3,720575940606751922,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,45.0,7.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
4,720575940606751922,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,27.0,3.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
5,720575940608241365,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,24.0,4.0,intrinsic,central,ALLN,,lLN2X10,,ALl1_dorsal,left,
6,720575940608241365,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,23.0,3.0,intrinsic,central,ALLN,,lLN2X10,,ALl1_dorsal,left,
7,720575940608295032,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,32.0,4.0,intrinsic,central,ALPN,multiglomerular,,M_vPNml60,ALv1,left,
8,720575940610408643,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,14.0,2.0,intrinsic,central,ALLN,,lLN2X02,,ALl1_dorsal,left,
9,720575940610680274,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,11.0,2.0,intrinsic,central,ALLN,,CB2527,,ALv2,left,
10,720575940610773782,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,94.0,6.0,intrinsic,central,ALPN,multiglomerular,,VP4+_vPN,ALv1,left,
11,720575940611352014,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,149.0,7.0,intrinsic,central,ALPN,multiglomerular,,VP3+VP1l_ivPN,putative_primary,left,
12,720575940611352014,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,30.0,1.0,intrinsic,central,ALPN,multiglomerular,,VP3+VP1l_ivPN,putative_primary,left,
13,720575940611379569,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,82.0,12.0,intrinsic,central,ALLN,,,lLN2T_b,ALl1_dorsal,left,
14,720575940611379569,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,214.0,12.0,intrinsic,central,ALLN,,,lLN2T_b,ALl1_dorsal,left,
15,720575940612284569,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,496.0,22.0,intrinsic,central,ALPN,multiglomerular,,VP1d+VP4_l2PN1,ALl1_ventral,left,
16,720575940612284569,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,29.0,4.0,intrinsic,central,ALPN,multiglomerular,,VP1d+VP4_l2PN1,ALl1_ventral,left,
17,720575940612732273,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,112.0,8.0,intrinsic,central,ALLN,,,v2LN33,ALv2,left,
18,720575940612907121,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,47.0,7.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
19,720575940612907121,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,36.0,4.0,intrinsic,central,ALLN,,lLN2X12,,ALl1_dorsal,left,
20,720575940612991381,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,70.0,6.0,intrinsic,central,ALLN,,,vLN26,ALv2,right,
21,720575940613203119,1,activated,hygro,activated,activated,activated,activated,activated,activated,activated,124.0,6.0,intrinsic,central,ALPN,multiglomerular,,VP3+VP1l_ivPN,putative_primary,right,
22,720575940613203119,1,activated,thermo,activated,activated,activated,activated,activated,activated,activated,41.0,1.0,intrinsic,central,ALPN,multiglomerular,,VP3+VP1l_ivPN,putative_primary,right,
