,root_id,flow,super_class,class,sub_class,cell_type,hemibrain_type,hemilineage,side,nerve
0,720575940628660224,afferent,sensory,olfactory,,,ORN_DL2v,,left,AN
6,720575940609228809,afferent,sensory,olfactory,,,ORN_DM4,,right,AN
10,720575940623302669,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
15,720575940625825820,afferent,sensory,olfactory,,,ORN_DM2,,left,AN
16,720575940614037533,afferent,sensory,olfactory,,,ORN_V,,left,AN
21,720575940616921129,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,left,AN
28,720575940616093746,afferent,sensory,olfactory,,,ORN_V,,right,AN
29,720575940646142004,afferent,sensory,olfactory,,,ORN_VA2,,left,AN
33,720575940627890231,afferent,sensory,olfactory,,,ORN_V,,left,AN
38,720575940633509949,afferent,sensory,olfactory,,,ORN_V,,left,AN
52,720575940639080526,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
54,720575940617109597,afferent,sensory,olfactory,,ORN_VM6l,ORN_VC5,,right,AN
58,720575940620574817,afferent,sensory,olfactory,,,ORN_VM5d,,left,AN
59,720575940609884258,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
63,720575940619419757,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
80,720575940625694857,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
88,720575940625334424,afferent,sensory,olfactory,,,ORN_VM7d,,left,MxLbN
107,720575940625342648,afferent,sensory,olfactory,,,ORN_DC4,,left,AN
131,720575940629373148,afferent,sensory,olfactory,,,ORN_VC4,,right,AN
136,720575940617650407,afferent,sensory,olfactory,,,ORN_V,,left,AN
137,720575940622745834,afferent,sensory,olfactory,,,ORN_DP1m,,left,AN
138,720575940625154283,afferent,sensory,olfactory,,,ORN_DP1m,,right,AN
141,720575940639088885,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,left,AN
149,720575940625162515,afferent,sensory,olfactory,,,ORN_V,,left,AN
155,720575940632224031,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
157,720575940617208098,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,right,AN
181,720575940622262593,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
184,720575940608508228,afferent,sensory,olfactory,,,ORN_VC1,,left,MxLbN
195,720575940639506776,afferent,sensory,olfactory,,,ORN_DC1,,left,AN
199,720575940610015586,afferent,sensory,olfactory,,,ORN_VA3,,right,AN
202,720575940633731435,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
205,720575940612096370,afferent,sensory,olfactory,,,ORN_DL2d,,left,AN
215,720575940648681860,afferent,sensory,olfactory,,,ORN_DC1,,left,AN
220,720575940615831947,afferent,sensory,olfactory,,ORN_VC5,ORN_VC3m,,left,AN
227,720575940616815005,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
229,720575940639449507,afferent,sensory,olfactory,,,ORN_V,,right,AN
237,720575940620386742,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
239,720575940623638967,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
240,720575940616356281,afferent,sensory,olfactory,,,ORN_VM5v,,left,AN
241,720575940624974266,afferent,sensory,olfactory,,,ORN_VA5,,left,AN
244,720575940638564797,afferent,sensory,olfactory,,,ORN_VL2p,,right,AN
246,720575940621124033,afferent,sensory,olfactory,,,ORN_VA3,,right,AN
261,720575940637704676,afferent,sensory,olfactory,,,ORN_DA2,,right,AN
263,720575940623942119,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
273,720575940628677114,afferent,sensory,olfactory,,,ORN_DP1m,,left,AN
281,720575940607459849,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
284,720575940623122957,afferent,sensory,olfactory,,,ORN_DC3,,right,AN
293,720575940617454114,afferent,sensory,olfactory,,,ORN_DC2,,right,AN
307,720575940631003723,afferent,sensory,olfactory,,,ORN_DM4,,right,AN
309,720575940616151638,afferent,sensory,olfactory,,,ORN_VM7v,,right,MxLbN
311,720575940638229080,afferent,sensory,olfactory,,,ORN_VM7d,,left,MxLbN
322,720575940628202089,afferent,sensory,olfactory,,,ORN_DL2d,,left,AN
326,720575940634468975,afferent,sensory,olfactory,,,ORN_VC2,,left,MxLbN
340,720575940624442000,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
343,720575940626997912,afferent,sensory,olfactory,,,ORN_VC4,,left,AN
349,720575940653892257,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
354,720575940611261098,afferent,sensory,olfactory,,,ORN_VL2p,,left,AN
355,720575940618912427,afferent,sensory,olfactory,,,ORN_DL2v,,right,AN
358,720575940632625837,afferent,sensory,olfactory,,,ORN_DL2d,,right,AN
360,720575940620886704,afferent,sensory,olfactory,,,ORN_VM7v,,right,MxLbN
364,720575940625670842,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,right,AN
365,720575940624859834,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
366,720575940615398075,afferent,sensory,olfactory,,,ORN_DL2d,,right,AN
378,720575940619150040,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
380,720575940641039067,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
386,720575940623090412,afferent,sensory,olfactory,,,ORN_DL2d,,left,AN
392,720575940626064138,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
398,720575940628800277,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
407,720575940643906340,afferent,sensory,olfactory,,,ORN_DP1l,,left,AN
411,720575940616913705,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,left,AN
413,720575940627817260,afferent,sensory,olfactory,,,ORN_V,,left,AN
420,720575940628431671,afferent,sensory,olfactory,,,ORN_DL5,,left,AN
422,720575940625818426,afferent,sensory,olfactory,,,ORN_VM5d,,left,AN
427,720575940631159633,afferent,sensory,olfactory,,,ORN_DL1,,left,AN
435,720575940607869788,afferent,sensory,olfactory,,,ORN_DC1,,left,AN
436,720575940622099294,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
451,720575940611662706,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
453,720575940620411764,afferent,sensory,olfactory,,,ORN_V,,left,AN
461,720575940626867081,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
462,720575940624491402,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
466,720575940635214734,afferent,sensory,olfactory,,ORN_VM6m,ORN_VC5,,right,AN
480,720575940620714921,afferent,sensory,olfactory,,ORN_VM6v,ORN_VC5,,left,AN
491,720575940619789248,afferent,sensory,olfactory,,,ORN_DM1,,right,AN
495,720575940606460873,afferent,sensory,olfactory,,ORN_VM6l,ORN_VC5,,right,AN
503,720575940603356128,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
511,720575940652581878,afferent,sensory,olfactory,,,ORN_V,,right,AN
512,720575940628677626,afferent,sensory,olfactory,,,ORN_DM2,,right,AN
524,720575940644512791,afferent,sensory,olfactory,,,ORN_D,,right,AN
554,720575940630807619,afferent,sensory,olfactory,,,ORN_DC2,,right,AN
559,720575940628407375,afferent,sensory,olfactory,,,ORN_DL5,,left,AN
560,720575940621100117,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
562,720575940629644375,afferent,sensory,olfactory,,,ORN_V,,left,AN
581,720575940650894457,afferent,sensory,olfactory,,ORN_VM6l,ORN_VC5,,left,AN
586,720575940619445382,afferent,sensory,olfactory,,,ORN_VM5d,,right,AN
589,720575940627154063,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
591,720575940622509203,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,left,AN
593,720575940625581208,afferent,sensory,olfactory,,,ORN_V,,right,AN
595,720575940633175196,afferent,sensory,olfactory,,,ORN_DL5,,right,AN
598,720575940642284704,afferent,sensory,olfactory,,,ORN_DM1,,left,AN
605,720575940611237034,afferent,sensory,olfactory,,,ORN_VA2,,right,AN
612,720575940620133568,afferent,sensory,olfactory,,,ORN_DC4,,left,AN
619,720575940644316360,afferent,sensory,olfactory,,,ORN_VL2a,,right,AN
625,720575940611056846,afferent,sensory,olfactory,,,ORN_VL2p,,left,AN
626,720575940611990738,afferent,sensory,olfactory,,,ORN_DM4,,left,AN
627,720575940619674840,afferent,sensory,olfactory,,,ORN_VA3,,left,AN
634,720575940616275174,afferent,sensory,olfactory,,,ORN_DC3,,right,AN
635,720575940623721703,afferent,sensory,olfactory,,ORN_VC3,ORN_VC3l,,right,AN
640,720575940611966194,afferent,sensory,olfactory,,,ORN_VC1,,right,MxLbN
641,720575940623729907,afferent,sensory,olfactory,,,ORN_VA7m,,right,AN
