pre_pt_root_id,id,post_pt_root_id,connection_score,cleft_score,gaba,ach,glut,oct,ser,da,post_pt_position_x,post_pt_position_y,post_pt_position_z,pre_pt_position_x,pre_pt_position_y,pre_pt_position_z,DA1_L,DA1_R,DA2_L,DA2_R,DA3_L,DA3_R,DA4l_L,DA4l_R,DA4m_L,DA4m_R,DC1_L,DC1_R,DC2_L,DC2_R,DC3_L,DC3_R,DC4_L,DC4_R,DL1_L,DL1_R,DL2d_L,DL2d_R,DL2v_L,DL2v_R,DL3_L,DL3_R,DL4_L,DL4_R,DL5_L,DL5_R,DM1_L,DM1_R,DM2_L,DM2_R,DM3_L,DM3_R,DM4_L,DM4_R,DM5_L,DM5_R,DM6_L,DM6_R,DP1l_L,DP1l_R,DP1m_L,DP1m_R,D_L,D_R,VA1d_L,VA1d_R,VA1v_L,VA1v_R,VA2_L,VA2_R,VA3_L,VA3_R,VA4_L,VA4_R,VA5_L,VA5_R,VA6_L,VA6_R,VA7l_L,VA7l_R,VA7m_L,VA7m_R,VC1_L,VC1_R,VC2_L,VC2_R,VC3_L,VC3_R,VC4_L,VC4_R,VC5_L,VC5_R,VL1_L,VL1_R,VL2a_L,VL2a_R,VL2p_L,VL2p_R,VM1_L,VM1_R,VM2_L,VM2_R,VM3_L,VM3_R,VM4_L,VM4_R,VM5d_L,VM5d_R,VM5v_L,VM5v_R,VM6_L,VM6_R,VM7d_L,VM7d_R,VM7v_L,VM7v_R,VP1d_L,VP1d_R,VP1l_L,VP1l_R,VP1m_L,VP1m_R,VP2_L,VP2_R,VP3_L,VP3_R,VP4_L,VP4_R,VP5_L,VP5_R,V_L,V_R
720575940604931249,63224093486,6917529141866091948,135400.26173257828,79581,42.68875900901093,390.0233318157261,24.867121477991798,8.92502390208155,118.0606201113726,39.43514255492118,288857364,157197656,47724560,288865176,157202368,47727840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,123,0,60,0,0,0,0
720575940605078560,557874314,6485183465644193426,1517.7237997055056,1076,1.048626997579959,2.4413460189753105,4.070089961984193,0.0007193156880556962,0.2246203081341651,1.2145972987419504,5109984,2300312,672160,5110392,2299548,672320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,2,0,0,0
720575940605264305,90722619832,6917529231745595381,212356.34441089633,131897,37.71751353454781,872.391945019619,6.23572141298542,3.6766092748825843,57.82177305994717,30.156441766351097,470766332,246531776,64464520,470761608,246524060,64468800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,323,0,14,0,0,0,0,0,4,0,0,0,0
720575940605758142,67715830132,-2161727664839403173,123553.5132007599,87195,335.3850289560987,83.36208161430247,9.702105876718843,0.5612008728560418,144.69039450265842,60.299188280988844,370389004,165096864,40814080,370389192,165092368,40815480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,151,0,111,0,58,0,56,0,113,0,20,0,0,0
720575940606385440,1319769605,-7638104964413792761,2752.706352233888,2267,8.167497646296399,5.052135629230179,0.10749355336611166,0.0007526267808804273,1.5748089324160897,0.09731190693128099,8595996,4141848,992960,8596720,4142056,992880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,1,0,0,0
720575940606722249,7605201512,-2017612614856953283,12409.485170841219,10284,29.076061662519354,6.586396267170131,6.870678129176212,0.0031977223463056765,17.87770200450115,13.585964264024367,43075656,18905612,4374080,43076200,18905320,4374200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,20,0,3,0,0,0,9,0,4,0,0,0
720575940606751922,21255868230,7061644261031604767,32119.88454484939,25645,77.08162022329634,67.2729083864615,2.6818513262414037,0.07474702016286146,19.020760965817693,22.86811283242991,88656264,46817940,13753040,88656436,46817440,13753560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,49,0,17,0,11,0,11,0,34,0,0,0,3
720575940608241365,10103865198,-6052837876469450387,15422.833582878115,12936,26.795036020179396,37.48778885346291,0.5777782129820226,0.018242559765747592,11.656339813144765,17.464815168292258,44066736,23268096,6517440,44065144,23269036,6517640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,18,0,8,0,3,0,8,0,0,0,0
720575940608345778,6801048634,5620492349421064282,9414.91280412674,7636,33.83381299383473,19.26402657629842,0.2572042428267292,0.0016556301856342768,4.6484101237680395,0.9948911601871755,34365944,14751788,3930560,34366064,14751448,3930800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,48,0,0,0,0,0
720575940609282825,133251537255,-1585266740305679788,272273.9377269745,180949,843.1840878644434,345.23974361368255,10.132778842559718,2.315178461733782,81.61755434725113,46.51065840047378,772582492,351431628,87659960,772585944,351431544,87663800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,176,0,388,0,231,0,176,0,125,0,59,0,3,0
