flyid,name,vp1l_10Hz
720575940604931249,vp1l_6,2.888482877451991
720575940605029036,,0.1795054935711501
720575940611352014,,1.8607047649270483
720575940613203119,,1.6829207415152452
720575940613898449,,1.7729448195962934
720575940613941533,vp1l_7,3.8952963087977444
720575940613942045,vp1l_8,2.6076809620810595
720575940613942301,vp1l_9,2.808914381037628
720575940613942557,vp1l_10,3.6192387167592153
720575940614871106,,1.892675942210452
720575940614921501,vp1l_1,3.86724133660618
720575940617987113,vp1l_2,3.3434845429415234
720575940620644446,vp1l_3,3.241398874971525
720575940622700749,vp1l_4,3.2345358588555206
720575940623000858,,0.3590109871423002
720575940623237161,,0.1795054935711501
720575940623264906,,0.1795054935711501
720575940623788040,,0.1795054935711501
720575940624684531,,0.7156970184527962
720575940625007949,,0.1795054935711501
720575940625148174,vp1l_11,2.7610384519838425
720575940625657928,vp1l_12,3.4583232931581165
720575940626580361,vp1l_13,3.172100600898752
720575940626584719,,0.9551032521262937
720575940627679765,,0.6155395104206463
720575940628338028,,2.023198787399136
720575940628609579,,0.1795054935711501
720575940631497078,,0.1795054935711501
720575940632795532,,0.1795054935711501
720575940635229335,,0.1795054935711501
720575940638128474,,0.1795054935711501
720575940651079158,vp1l_5,2.9476921292578857
